test_id,env_id,n_agents,x_dim,y_dim,n_cities,max_rail_pairs_in_city,n_envs_run,grid_mode,max_rails_between_cities,malfunction_duration_min,malfunction_duration_max,malfunction_interval,speed_ratios,random_seed
Test_0,Level_0,7,30,30,2,2,10,False,2,20,50,540,"{1.0: 0.25, 0.5: 0.25, 0.33: 0.25, 0.25: 0.25}",8408636472040690524
Test_0,Level_1,7,30,30,2,2,10,False,2,20,50,540,"{1.0: 0.25, 0.5: 0.25, 0.33: 0.25, 0.25: 0.25}",8949224446399036050
Test_0,Level_2,7,30,30,2,2,10,False,2,20,50,540,"{1.0: 0.25, 0.5: 0.25, 0.33: 0.25, 0.25: 0.25}",1205070333558684351
Test_0,Level_3,7,30,30,2,2,10,False,2,20,50,540,"{1.0: 0.25, 0.5: 0.25, 0.33: 0.25, 0.25: 0.25}",3353857794784479529
Test_0,Level_4,7,30,30,2,2,10,False,2,20,50,540,"{1.0: 0.25, 0.5: 0.25, 0.33: 0.25, 0.25: 0.25}",9304244271995910130
Test_0,Level_5,7,30,30,2,2,10,False,2,20,50,540,"{1.0: 0.25, 0.5: 0.25, 0.33: 0.25, 0.25: 0.25}",4183414503763236641
Test_0,Level_6,7,30,30,2,2,10,False,2,20,50,540,"{1.0: 0.25, 0.5: 0.25, 0.33: 0.25, 0.25: 0.25}",40920127385794957
Test_0,Level_7,7,30,30,2,2,10,False,2,20,50,540,"{1.0: 0.25, 0.5: 0.25, 0.33: 0.25, 0.25: 0.25}",2668383623481975592
Test_0,Level_8,7,30,30,2,2,10,False,2,20,50,540,"{1.0: 0.25, 0.5: 0.25, 0.33: 0.25, 0.25: 0.25}",1951877488782495745
Test_0,Level_9,7,30,30,2,2,10,False,2,20,50,540,"{1.0: 0.25, 0.5: 0.25, 0.33: 0.25, 0.25: 0.25}",114116299434993422
Test_1,Level_0,10,30,30,2,2,10,False,2,20,50,900,"{1.0: 0.25, 0.5: 0.25, 0.33: 0.25, 0.25: 0.25}",9159042998778328771
Test_1,Level_1,10,30,30,2,2,10,False,2,20,50,900,"{1.0: 0.25, 0.5: 0.25, 0.33: 0.25, 0.25: 0.25}",10640802452011974117
Test_1,Level_2,10,30,30,2,2,10,False,2,20,50,900,"{1.0: 0.25, 0.5: 0.25, 0.33: 0.25, 0.25: 0.25}",7281124286511351813
Test_1,Level_3,10,30,30,2,2,10,False,2,20,50,900,"{1.0: 0.25, 0.5: 0.25, 0.33: 0.25, 0.25: 0.25}",4366568835388281384
Test_1,Level_4,10,30,30,2,2,10,False,2,20,50,900,"{1.0: 0.25, 0.5: 0.25, 0.33: 0.25, 0.25: 0.25}",6120315905862478255
Test_1,Level_5,10,30,30,2,2,10,False,2,20,50,900,"{1.0: 0.25, 0.5: 0.25, 0.33: 0.25, 0.25: 0.25}",15589135834634776660
Test_1,Level_6,10,30,30,2,2,10,False,2,20,50,900,"{1.0: 0.25, 0.5: 0.25, 0.33: 0.25, 0.25: 0.25}",14347692757124868741
Test_1,Level_7,10,30,30,2,2,10,False,2,20,50,900,"{1.0: 0.25, 0.5: 0.25, 0.33: 0.25, 0.25: 0.25}",1847210063051179480
Test_1,Level_8,10,30,30,2,2,10,False,2,20,50,900,"{1.0: 0.25, 0.5: 0.25, 0.33: 0.25, 0.25: 0.25}",6537033911839079339
